alias,code,vendor_type,vendor_code
Belfast,GBRNIRBFS000,meiya_air,BFS
Guernsey,GBR000001000,meiya_air,GCI
Kano,NGA000KAN000,meiya_air,KAN
Vilnius,LTU0000VI000,meiya_air,VNO
Tijuana,MEX000TIJ000,meiya_air,TIJ
Riyadh,SAU0000RD000,meiya_air,RUH
Sofia,BGR000SOF000,meiya_air,SOF
Kabul,AFG000KBL000,meiya_air,KBL
Kingston,CAN000KGN000,meiya_air,KIN
Beida,LBY000001000,meiya_air,LAQ
Lahore,PAK000LHE000,meiya_air,LHE
Hakodate,JPN000052000,meiya_air,HKD
Dublin,IRL0000DB000,meiya_air,DUB
Graz,AUT000001000,meiya_air,GRZ
Brazzaville,COG000007000,meiya_air,BZV
Colombo,USA000CMB000,meiya_air,CMB
Caracas,VEN00000A000,meiya_air,CCS
Cancun,MEX000001000,meiya_air,CUN
Cuzco,PER0000CU000,meiya_air,CUZ
Linz,AUT000002000,meiya_air,LNZ
Faisalabad,PAK000LYP000,meiya_air,LYP
Mombasa,KEN000MOM000,meiya_air,MBA
Benghazi,LBY000002000,meiya_air,BEN
Bergen,NOR000021000,meiya_air,BGO
Baghdad,USAAP0146000,meiya_air,BGW
Porto,PRT000VDP000,meiya_air,OPO
Oslo,NOR000003000,meiya_air,OSL
Peshawar,PAK000PEW000,meiya_air,PEW
PanamaCity,USAAP1133000,meiya_air,PTY
Cork,IRL0000CK000,meiya_air,ORK
Berne,CHE0000BE000,meiya_air,BRN
Beirut,LBN0000BA000,meiya_air,BEY
Lima,PER0000LI000,meiya_air,LIM
Bristol,GBRENGBST000,meiya_air,BRS
Damascus,SYR0000RD000,meiya_air,DAM
Faro,PRT000FAO000,meiya_air,FAO
Kisangani,COD000002000,meiya_air,FKI
Sanna,YEM0000SN000,meiya_air,SAH
Santiago,CUB000013000,meiya_air,SCL
Niigata,JPN000053000,meiya_air,KIJ
Naha,IDN000003000,meiya_air,NAH
Tokushima,JPN000054000,meiya_air,TKS
Ishigaki,JPN000055000,meiya_air,ISG
Nara,JPN000029000,meiya_air,1175
Shizuokacity,JPN000022000,meiya_air,FSZ
Reno,USA0NVRNO000,meiya_air,RNO
ElPaso,USA0TXELP000,meiya_air,ELP
Austin,USA0TXAUS000,meiya_air,AUS
Milwaukee,USA0WIMKE000,meiya_air,MKE
KansasCity,USA0KSKCK000,meiya_air,MKC
StLouis,ARG000LUQ000,meiya_air,STL
Cincinnati,USA0OHCVG000,meiya_air,CVG
Cleveland,USAAP0001000,meiya_air,CLE
NewOrleans,USA0LAMSY000,meiya_air,MSY
KeyWest,USA0FLEYW000,meiya_air,EYW
SantaBarbara,HND0000SB000,meiya_air,SBA
Tucson,USA0AZTUC000,meiya_air,TUS
SanAntonio,USA0TXSAT000,meiya_air,SAT
Aberdeen,USA0MDAPG000,meiya_air,ABZ
Dayton,USA0OHDYT000,meiya_air,DAY
Izmiradnanmende,TUR000IZM000,meiya_air,IZM
Antalya,TUR000ANT000,meiya_air,AYT
Ankara,TUR000ANK000,meiya_air,ANK
KohSamui,THA000002000,meiya_air,USM
Lisbon,PRT000LIS000,meiya_air,LIS
Memphis,USA0TNMEM000,meiya_air,MEM
Chennai,IND000MAA000,meiya_air,MAA
Bologna,ITA000BLQ000,meiya_air,BLQ
Columbus,USA0OHCZX000,meiya_air,CMH
Halifax,CAN000001000,meiya_air,YHZ
