code,vendor_type,alias
USAAP0014000,standard_air,好莱坞
USAAP0015000,standard_air,威奇托市
USA0OKTUL000,standard_air,塔尔萨
USA0MIGRR000,standard_air,大急流城
USA0MNRST000,standard_air,罗切斯特
USAAP0016000,standard_air,斯廷姆波特斯普林
USAAP0017000,standard_air,冈尼森
USAAP0018000,standard_air,卡胡卢伊
USAAP0019000,standard_air,科纳
USA0NYCVO000,standard_air,奥尔巴尼
USAAP0020000,standard_air,斯泰特科利奇
USAAP0021000,standard_air,哈里斯堡
USA0VARIC000,standard_air,里士满
USAAP0022000,standard_air,温斯顿 塞勒姆
USAAP0023000,standard_air,圣彼得斯堡
USAAP0024000,standard_air,迈尔斯堡
USAAP0025000,standard_air,西棕榈滩
USAAP0026000,standard_air,劳德代尔
USA0CTHFD000,standard_air,哈特福德
USA0NHMHT000,standard_air,曼彻斯特
USA0VTBTV000,standard_air,伯灵顿
USA0RIPVD000,standard_air,普罗维登斯
USA0CASJC000,standard_air,圣何塞
USAAP0027000,standard_air,萨克拉门托
IRL000001000,standard_air,香农
IRL000002000,standard_air,韦斯福德
IRL0000WF000,standard_air,沃特福德
DEU000WIB000,standard_air,威斯巴登
USAAP0028000,standard_air,马默斯莱克斯
CHE000001000,standard_air,圣莫里茨
ESP000LPA000,standard_air,拉斯帕尔马斯
ESP000010000,standard_air,拉科鲁利亚
ESP000SDR000,standard_air,桑坦德
GRC000001000,standard_air,帕特雷
GBRENGCEG000,standard_air,切斯特
GBRENGLIV000,standard_air,利物浦
GBRENGSHE000,standard_air,谢菲尔德
GBR000008000,standard_air,恩尼斯基伦
ABW000000000,standard_air,阿鲁巴
USA0TNBNA000,standard_air,纳什维尔
JPN000059000,standard_air,北九州
USAAP0029000,standard_air,诺克斯威尔
USA0ARLIT000,standard_air,小石城
USAAP0030000,standard_air,汉斯威尔
USAAP0031000,standard_air,格林威尔
USA0SCCHS000,standard_air,查尔斯顿
USA0ILSPI000,standard_air,斯普林菲尔德
NGA000002000,standard_air,阿布贾
ARM000EVN000,standard_air,埃里温
USAAP0032000,standard_air,南本德
COL000003000,standard_air,卡里马瓜
JPN000005000,standard_air,秋田
BRA000003000,standard_air,伊瓜苏福尔斯
KAZ000AST000,standard_air,阿斯塔纳
SUR0000PM000,standard_air,帕拉马里博
AUS000001000,standard_air,米卡萨拉
USA0ARFYV000,standard_air,费耶特维尔
USA0GAAUT000,standard_air,奥古斯塔
USAAP0033000,standard_air,锡拉丘兹
COD000003000,standard_air,卢本巴希
PHL000002000,standard_air,桑托斯将军城
CAN000QUE000,standard_air,魁北克
CYP000005000,standard_air,帕福斯
USA0LASHV000,standard_air,什里夫波特
IND000005000,standard_air,克久拉霍
UKR000001000,standard_air,里沃夫
UKR000002000,standard_air,第聂伯罗彼得罗夫斯克
PRT000FUN000,standard_air,丰沙尔
UKR000063000,standard_air,哈尔科夫
RUS000KRR000,standard_air,克拉斯诺达尔
RUS000003000,standard_air,罗斯托夫
ROU0000SO000,standard_air,锡比乌
BGR000VAR000,standard_air,瓦尔纳
USAAP0034000,standard_air,布卢明顿 诺马尔
USAAP0035000,standard_air,特拉弗斯城
USA0IACID000,standard_air,锡达拉皮兹
USAAP0036000,standard_air,乔普林
CAN000SUD000,standard_air,萨德伯里
USAAP0037000,standard_air,拉克鲁斯
DNK000003000,standard_air,卡鲁普
CAN000SJB000,standard_air,圣约翰斯
IND000JAI000,standard_air,斋普尔
CHE000002000,standard_air,卢加诺
AUS000002000,standard_air,艾丽斯斯普林斯
USAAP0038000,standard_air,罗阿诺克
USAAP0039000,standard_air,彭萨科拉
DNK0000AR000,standard_air,奥胡斯
ETH000001000,standard_air,阿斯马拉
USA0MEBNQ000,standard_air,班戈
DEU000006000,standard_air,海德堡
SAU000DAM000,standard_air,达曼
USAAP0040000,standard_air,尚佩恩
USAAP0041000,standard_air,安哥拉城
USA0ALMGM000,standard_air,蒙哥马利
CAN000THU000,standard_air,桑德贝
USA0TNCHA000,standard_air,查塔努加
AUSQLDTSV000,standard_air,汤斯维尔
USA0NDFAR000,standard_air,法戈
LSO00000A000,standard_air,马塞卢
USA0MISGM000,standard_air,萨吉诺
USA0LABTR000,standard_air,巴吞鲁日
USAAP0042000,standard_air,博蒙特
USAAP0043000,standard_air,迈克艾伦
KOR031000000,standard_air,蔚山
KOR043KPO000,standard_air,浦项
USAAP0044000,standard_air,拉菲特
MYS000007000,standard_air,米里
USA0INEVV000,standard_air,埃文斯维尔
ARE000001000,standard_air,哈伊马角
ARG000MDQ000,standard_air,马德普拉塔
ARG000REL000,standard_air,特雷利乌
ARG000SLA000,standard_air,萨尔塔
ARG000USH000,standard_air,乌斯怀亚
AUS000003000,standard_air,布鲁姆
AUS000004000,standard_air,巴瑟尔顿
AUS000005000,standard_air,赫维湾
AUS000006000,standard_air,麦凯
BEL000001000,standard_air,奥斯坦德
BGR000PDV000,standard_air,普罗夫迪夫
BRA000004000,standard_air,马塞约
BRA000005000,standard_air,纳塔尔
SLV000000000,standard_air,萨尔瓦多
CAN000004000,standard_air,惠斯勒
CAN000005000,standard_air,贾斯珀
CAN000006000,standard_air,坎卢普斯
CZE000001000,standard_air,布尔诺
CZE0000KA000,standard_air,卡罗维发利
