alias,code,vendor_type
雷恩 ,FRA000002000,ctrip_air
加帝夫,GBR000004000,ctrip_air
克里斯蒂安桑,NOR000022000,ctrip_air
孔敬,THA000040000,ctrip_air
乌隆,THA000041000,ctrip_air
万伦,THA000003000,ctrip_air
合艾,THA000004000,ctrip_air
董里,THA000092000,ctrip_air
瓜亚基尔,ECU000001000,ctrip_air
南特,FRA000NTE000,ctrip_air
邦咯岛,MYS000005000,ctrip_air
三宝拢,IDN000011000,ctrip_air
亚历山大,EGY000ALY000,ctrip_air
宋卡,THA000090000,ctrip_air
达可,THA000005000,ctrip_air
松山,JPN000057000,ctrip_air
比隆,DNK000002000,ctrip_air
阿雅克肖,FRA000003000,ctrip_air
亚维侬,FRA000004000,ctrip_air
巴斯蒂亚,FRA000005000,ctrip_air
比亚里茨,FRA000006000,ctrip_air
克莱蒙费朗,FRA000007000,ctrip_air
卡尔维,FRA000008000,ctrip_air
梅兹南希,FRA000009000,ctrip_air
格勒诺布尔,FRA000010000,ctrip_air
拉尼永,FRA000011000,ctrip_air
洛里昂,FRA000012000,ctrip_air
米卢斯,FRA000013000,ctrip_air
安奈斯,FRA000014000,ctrip_air
佩皮尼扬,FRA000015000,ctrip_air
波城,FRA000016000,ctrip_air
罗德兹,FRA000017000,ctrip_air
土伦,FRA000018000,ctrip_air
因佛内斯,GBR000005000,ctrip_air
爱因霍温,NLD000002000,ctrip_air
汉伯塞,GBR000006000,ctrip_air
利兹,GBR000007000,ctrip_air
特隆赫姆,NOR000023000,ctrip_air
桑德菲尧德,NOR000024000,ctrip_air
彼尔姆,RUS000PER000,ctrip_air
昂热,FRA000019000,ctrip_air
布雷斯特,FRA000020000,ctrip_air
利摩日,FRA000LIG000,ctrip_air
勒芒,FRA000021000,ctrip_air
普瓦捷,FRA000022000,ctrip_air
坎佩尔,FRA000023000,ctrip_air
维哥,ESP000005000,ctrip_air
维多利亚,CAN000VIC000,ctrip_air
奥瓦尔迪亚港,PAN000001000,ctrip_air
达拉曼,TUR000001000,ctrip_air
凡城,TUR000002000,ctrip_air
桑利乌法,TUR000003000,ctrip_air
马拉提亚,TUR000004000,ctrip_air
加济安泰普,TUR000GAZ000,ctrip_air
俄祖汝穆,TUR000005000,ctrip_air
迪亚巴克尔,TUR000DIY000,ctrip_air
开塞利,TUR000KAY000,ctrip_air
科尼亚,TUR000KON000,ctrip_air
萨姆松,TUR000SAM000,ctrip_air
特拉布宗,TUR000TRA000,ctrip_air
博德鲁姆,TUR000006000,ctrip_air
代尼兹利,TUR000DEN000,ctrip_air
埃德米特,TUR000007000,ctrip_air
图尔斯,FRA000024000,ctrip_air
兰萨罗特,ESP000006000,ctrip_air
安特卫普,BEL000VAN000,ctrip_air
伊比萨,ESP000007000,ctrip_air
喀山,RUS000KZN000,ctrip_air
勒阿弗尔,FRA000025000,ctrip_air
梅诺卡,ESP000008000,ctrip_air
塔斯卡卢萨,USAAP0010000,ctrip_air
特内里费,ESP000009000,ctrip_air
顺化,VNM000002000,ctrip_air
芽庄,VNM000003000,ctrip_air
卡利博,PHL000001000,ctrip_air
宫崎,JPN000045000,ctrip_air
南萨哈林斯克,RUS000JSA000,ctrip_air
博伊西,USA0IDBOI000,ctrip_air
下诺夫哥罗德,RUS000GOJ000,ctrip_air
约恩苏,FIN000JOE000,ctrip_air
于伐斯居拉,FIN000001000,ctrip_air
卡尼亚,FIN000002000,ctrip_air
库萨莫,FIN000003000,ctrip_air
科科拉,FIN000KOK000,ctrip_air
基蒂拉,FIN000004000,ctrip_air
库奥皮欧,FIN000005000,ctrip_air
玛丽港,FIN000MHQ000,ctrip_air
奥卢,FIN000OLU000,ctrip_air
罗凡涅米,FIN000006000,ctrip_air
图尔库,FIN000TKU000,ctrip_air
坦佩雷,FIN000TMP000,ctrip_air
瓦萨,FIN000VAA000,ctrip_air
索科托,NGA000001000,ctrip_air
小松,JPN000058000,ctrip_air
罗托鲁瓦,NZL000001000,ctrip_air
纳雷,COL000002000,ctrip_air
科希策,SVK000KOR000,ctrip_air
蒂米什瓦拉,ROU0000TI000,ctrip_air
刁曼,MYS000006000,ctrip_air
特拉帕尼,ITA000TPS000,ctrip_air
杰克逊,USA0MSJAN000,ctrip_air
伯班克,USAAP0011000,ctrip_air
比灵斯,USA0MTBGS000,ctrip_air
阿尔伯克基,USA0NMABQ000,ctrip_air
海登,USAAP0012000,ctrip_air
蒙特罗斯,USAAP0013000,ctrip_air
好莱坞,USAAP0014000,ctrip_air
威奇托市,USAAP0015000,ctrip_air
塔尔萨,USA0OKTUL000,ctrip_air
大急流城,USA0MIGRR000,ctrip_air
罗切斯特,USA0MNRST000,ctrip_air
斯廷姆波特斯普林,USAAP0016000,ctrip_air
冈尼森,USAAP0017000,ctrip_air
卡胡卢伊,USAAP0018000,ctrip_air
科纳,USAAP0019000,ctrip_air
奥尔巴尼,USA0NYCVO000,ctrip_air
斯泰特科利奇,USAAP0020000,ctrip_air
哈里斯堡,USAAP0021000,ctrip_air
里士满,USA0VARIC000,ctrip_air
温斯顿 塞勒姆,USAAP0022000,ctrip_air
圣彼得斯堡,USAAP0023000,ctrip_air
迈尔斯堡,USAAP0024000,ctrip_air
西棕榈滩,USAAP0025000,ctrip_air
劳德代尔,USAAP0026000,ctrip_air
哈特福德,USA0CTHFD000,ctrip_air
曼彻斯特,USA0NHMHT000,ctrip_air
伯灵顿,USA0VTBTV000,ctrip_air
普罗维登斯,USA0RIPVD000,ctrip_air
圣何塞,USA0CASJC000,ctrip_air
萨克拉门托,USAAP0027000,ctrip_air
香农,IRL000001000,ctrip_air
韦斯福德,IRL000002000,ctrip_air
沃特福德,IRL0000WF000,ctrip_air
威斯巴登,DEU000WIB000,ctrip_air
马默斯莱克斯,USAAP0028000,ctrip_air
圣莫里茨,CHE000001000,ctrip_air
拉斯帕尔马斯,ESP000LPA000,ctrip_air
拉科鲁利亚,ESP000010000,ctrip_air
桑坦德,ESP000SDR000,ctrip_air
帕特雷,GRC000001000,ctrip_air
切斯特,GBRENGCEG000,ctrip_air
利物浦,GBRENGLIV000,ctrip_air
谢菲尔德,GBRENGSHE000,ctrip_air
恩尼斯基伦,GBR000008000,ctrip_air
阿鲁巴,ABW000000000,ctrip_air
纳什维尔,USA0TNBNA000,ctrip_air
北九州,JPN000059000,ctrip_air
诺克斯威尔,USAAP0029000,ctrip_air
小石城,USA0ARLIT000,ctrip_air
汉斯威尔,USAAP0030000,ctrip_air
格林威尔,USAAP0031000,ctrip_air
查尔斯顿,USA0SCCHS000,ctrip_air
斯普林菲尔德,USA0ILSPI000,ctrip_air
阿布贾,NGA000002000,ctrip_air
埃里温,ARM000EVN000,ctrip_air
南本德,USAAP0032000,ctrip_air
卡里马瓜,COL000003000,ctrip_air
秋田,JPN000005000,ctrip_air
伊瓜苏福尔斯,BRA000003000,ctrip_air
阿斯塔纳,KAZ000AST000,ctrip_air
帕拉马里博,SUR0000PM000,ctrip_air
米卡萨拉,AUS000001000,ctrip_air
费耶特维尔,USA0ARFYV000,ctrip_air
奥古斯塔,USA0GAAUT000,ctrip_air
锡拉丘兹,USAAP0033000,ctrip_air
卢本巴希,COD000003000,ctrip_air
